Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Pass_Rate_Sem1,Pass_Rate_Sem2,Academic_Momentum,Academic_Fatigue,Grade_Trend,Avg_Grade,Total_Approved,Overall_Pass_Rate,Load_Change,Zero_Activity_Sem2,Financial_Stress,Dropout_Risk,Credit_Completion,Grade_x_PassRate,Sem2_Intensity,Enrollment_Stability,Active_No_Graduate
1,17,5,171,1,1,122.0,1,19,12,5,9,127.3,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,1,3.0,0.0,0.0,0.0,1.0,0
1,15,1,9254,1,1,160.0,1,1,3,3,3,142.5,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,2,1.0,1.0,1.0,0.0,-0.3333333333333339,13.833333333333332,12,1.0,0,0,2,2.0,1.0,13.833333333333332,6.0,1.0,1
1,1,5,9070,1,1,122.0,1,37,37,9,9,124.8,1,0,0,0,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,2,3.0,0.0,0.0,0.0,1.0,1
1,17,2,9773,1,1,122.0,1,38,37,5,3,119.6,1,0,0,1,0,0,20,0,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,2,1.0,0.8333333333333334,0.8333333333333334,-0.16666666666666663,-1.0285714285714285,12.914285714285715,11,0.9166666666666666,0,0,1,1.1666666666666665,0.9166666666666666,11.838095238095239,5.0,0.8333333333333334,1
2,39,1,8014,0,1,100.0,1,37,38,9,9,141.5,0,0,0,1,0,0,45,0,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,2,0.8333333333333334,1.0,0.8333333333333334,0.16666666666666663,0.6666666666666661,12.666666666666668,11,0.9166666666666666,0,0,1,1.0,0.9166666666666666,11.611111111111112,6.0,0.8333333333333334,1
2,39,1,9991,0,19,133.1,1,37,37,9,7,114.8,0,0,1,1,1,0,50,0,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,2,1.0,1.0,1.0,0.0,-0.35714285714285765,11.678571428571429,10,1.0,0,0,2,2.0,1.0,11.678571428571429,5.0,1.0,1
1,1,1,9500,1,1,142.0,1,19,38,7,10,128.4,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,2,1.0,1.0,1.0,0.0,1.045,13.822500000000002,15,1.0,1,0,0,0.0,1.0,13.822500000000002,8.0,1.0,1
1,18,4,9254,1,1,119.0,1,37,37,9,9,113.1,1,0,0,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,2,3.0,0.0,0.0,0.0,1.0,1
1,1,3,9238,1,1,137.0,62,1,1,9,9,129.3,0,0,0,1,0,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,2,1.0,1.0,1.0,0.0,0.26785714285714235,14.008928571428571,12,1.0,0,0,0,0.0,1.0,14.008928571428571,6.0,1.0,1
1,1,1,9238,1,1,138.0,1,1,19,4,7,123.0,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,0,0.8333333333333334,0.3333333333333333,0.2777777777777778,-0.5,2.0999999999999996,12.45,7,0.5833333333333334,0,0,3,3.666666666666667,0.5833333333333334,7.2625,2.0,0.5,1
1,1,1,9670,1,1,139.0,1,38,19,5,7,130.6,1,0,0,1,0,0,18,0,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,2,1.0,0.8333333333333334,0.8333333333333334,-0.16666666666666663,1.8666666666666654,13.266666666666666,11,0.9166666666666666,0,0,1,1.1666666666666665,0.9166666666666666,12.16111111111111,5.0,0.8333333333333334,1
1,1,1,9500,1,1,136.0,1,19,38,9,9,119.3,1,0,0,1,0,1,18,0,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,2,0.875,0.875,0.765625,0.0,0.0,13.214285714285714,14,0.875,0,0,0,0.125,0.875,11.5625,7.0,1.0,1
1,1,2,9853,1,1,133.0,1,19,37,4,9,130.2,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,2.0,0.0,0.0,0.0,1.0,1
1,53,1,9254,1,42,110.0,1,1,1,4,7,111.8,1,0,0,1,0,1,21,0,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,2,1.0,0.8333333333333334,0.8333333333333334,-0.16666666666666663,0.4285714285714288,10.785714285714285,11,0.9166666666666666,0,0,0,0.16666666666666663,0.9166666666666666,9.886904761904761,5.0,0.8333333333333334,1
1,1,1,9085,1,1,149.0,1,38,37,5,5,137.1,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,2,0.8,1.0,0.8,0.19999999999999996,-1.25,12.625,9,0.9,0,0,0,0.0,0.9,11.3625,5.0,0.8,1
1,1,1,9773,1,1,127.0,1,19,37,9,3,120.7,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,0,0.8333333333333334,0.0,0.0,-0.8333333333333334,-13.2,6.6,5,0.4166666666666667,0,0,1,2.0,0.4166666666666667,2.75,0.0,0.16666666666666663,1
1,18,1,9238,1,1,137.0,1,19,38,5,8,137.4,1,0,0,1,0,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,1,0.16666666666666666,0.3333333333333333,0.05555555555555555,0.16666666666666666,-1.0,11.5,3,0.25,0,0,1,1.6666666666666667,0.25,2.875,2.0,0.8333333333333334,1
1,17,2,9500,1,1,135.0,1,19,1,5,4,127.3,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,2,1.0,1.0,1.0,0.0,1.2387499999999996,13.925625,15,1.0,1,0,1,1.0,1.0,13.925625,8.0,1.0,1
1,1,1,9130,1,1,137.0,1,3,19,3,5,136.3,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,2,0.8,0.8,0.6400000000000001,0.0,-0.25,12.375,8,0.8,0,0,1,1.2,0.8,9.9,4.0,1.0,1
1,1,3,171,1,1,122.0,1,1,1,9,8,120.3,0,0,0,1,0,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,2.0,0.0,0.0,0.0,1.0,0
1,1,4,9500,1,1,142.0,1,19,19,1,1,125.5,1,0,0,1,0,0,18,0,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,2,0.875,0.875,0.765625,0.0,0.0,12.857142857142858,14,0.875,0,0,1,1.125,0.875,11.25,7.0,1.0,1
1,1,4,9670,1,1,125.0,1,1,38,4,7,114.9,1,0,0,1,0,1,19,0,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,2,1.0,1.0,1.0,0.0,-1.0892857142857135,12.830357142857142,12,1.0,0,0,0,0.0,1.0,12.830357142857142,6.0,1.0,1
1,1,1,9500,1,1,126.0,1,19,19,3,7,123.9,0,0,0,1,0,0,19,0,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,2,0.8571428571428571,0.875,0.75,0.017857142857142905,0.8176190476190452,13.70547619047619,13,0.8666666666666667,1,0,1,1.125,0.8666666666666667,11.878079365079365,7.0,0.9821428571428571,1
1,17,2,9238,1,1,115.0,1,19,38,7,8,116.4,1,0,0,1,0,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,2,1.0,1.0,1.0,0.0,1.9107142857142865,12.330357142857142,12,1.0,0,0,1,1.0,1.0,12.330357142857142,6.0,1.0,1
1,1,1,9147,1,1,135.0,1,19,1,9,9,122.1,1,0,0,1,0,0,20,0,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,2,1.0,1.0,1.0,0.0,0.3333333333333339,12.166666666666668,10,1.0,0,0,1,1.0,1.0,12.166666666666668,5.0,1.0,1
1,44,1,9003,1,39,150.0,1,4,5,4,2,150.0,0,0,0,1,1,0,21,0,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,1,0.8333333333333334,0.8333333333333334,0.6944444444444445,0.0,-1.2857142857142865,11.214285714285715,10,0.8333333333333334,0,0,1,1.1666666666666665,0.8333333333333334,9.345238095238097,5.0,1.0,1
1,51,1,9070,1,1,125.0,1,42,3,125,124,130.0,1,0,0,1,1,0,20,0,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,2,1.0,0.6666666666666666,0.6666666666666666,-0.33333333333333337,0.5666666666666664,13.116666666666667,10,0.8333333333333334,0,0,1,1.3333333333333335,0.8333333333333334,10.930555555555557,4.0,0.6666666666666666,1
1,1,1,9147,1,1,143.0,1,1,1,4,6,138.8,0,0,0,0,1,0,18,0,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,1,0.6,0.4,0.24,-0.19999999999999996,2.166666666666666,12.416666666666668,5,0.5,0,0,2,2.6,0.5,6.208333333333334,2.0,0.8,1
1,18,1,8014,0,1,138.0,1,19,1,9,5,134.5,1,0,0,1,0,0,19,0,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,2,1.0,1.0,1.0,0.0,1.708333333333334,13.520833333333332,12,1.0,0,0,1,1.0,1.0,13.520833333333332,6.0,1.0,1
1,1,1,9991,0,1,130.0,1,2,37,3,9,131.4,0,0,0,1,1,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,2,1.0,1.0,1.0,0.0,1.0285714285714285,12.914285714285715,10,1.0,0,0,1,1.0,1.0,12.914285714285715,5.0,1.0,1
1,39,1,33,1,1,130.0,1,38,37,9,6,102.5,0,0,1,0,1,0,37,0,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,0,0.0,0.14285714285714285,0.0,0.14285714285714285,10.0,5.0,1,0.07142857142857142,0,0,3,3.857142857142857,0.07142857142857142,0.3571428571428571,1.0,0.8571428571428572,1
1,39,1,9119,1,10,133.1,1,34,37,0,0,128.8,1,0,0,1,1,0,43,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,2.0,0.0,0.0,0.0,1.0,1
1,43,1,9147,1,1,140.0,1,37,37,6,6,122.9,0,0,0,1,0,0,55,0,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,0,0.2,0.4,0.08000000000000002,0.2,2.0,11.0,3,0.3,0,0,1,1.6,0.3,3.3,2.0,0.8,1
